molecule,smiles,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23300>,COc1ccc(CN(C)c2nc3nonc3nc2N)cc1,0.7636570739708015,2.6441605435090914,1.24,103.19,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf233e0>,COc1cc(OC)cc(C(=O)C2CCOCC2)c1,0.7691740377863779,2.049013616037165,2.3131000000000004,44.760000000000005,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23290>,CSc1nnc(SCC(=O)Nc2ccc(OC(F)F)cc2)s1,0.7586488418399578,2.237085391926211,3.592200000000002,64.11,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf231b0>,CC(=O)Nc1cccc(CNC(=O)COc2ccccc2F)c1,0.8601532248671411,1.7199329090685076,2.4793000000000003,67.43,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23220>,CC(C)Cn1ncc2c(NC3CC3)nc(C(C)(C)C)nc21,0.9365729431095003,2.608501110310712,3.3541000000000025,55.63,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23370>,CC(C)COc1ncc(CNC(=O)CC2CCCO2)cc1Cl,0.8365343981429441,2.827343797833162,2.9551000000000016,60.45,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23450>,CCOc1ccc(NC(=O)C2CCCN2C(=O)c2ccccc2)cc1,0.909612287254173,2.128915845557538,3.3286000000000024,58.64,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf234c0>,COc1ccc(CC(=O)N(Cc2ccccn2)c2ccccn2)cc1,0.694660757018855,2.0607823215296452,3.2611000000000026,55.32,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23530>,COc1ccc(OC)c(Nc2ncnc3c(=O)c(C)c(C)sc23)c1,0.782267559528499,2.518932000316081,3.429140000000002,73.34,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23680>,CCOc1cc(C)c(S(=O)(=O)NCC(C)C)cc1C,0.8738902173316252,2.0709932512168248,2.6364400000000012,55.400000000000006,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23920>,Cc1ccc(C(=O)NCC(=O)OCC(C)C)cc1Cl,0.8452006797221966,1.8501720204475944,2.577420000000001,55.400000000000006,0.984,1.0,0.871
<rdkit.Chem.rdchem.Mol object at 0x773f1bf23990>,CC(=O)N1CCC(C(=O)NCc2ccc(C(=O)NC3CC3)cc2)CC1,0.8493666274986389,1.8649631043085115,1.4534999999999993,78.51,0.984,1.0,0.871
