molecule,smiles,condition,scaffold_cond,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7abde53795b0>,C=C1C=C(COC(=O)C(C)(C)OC(N)=O)C(=O)C1,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7494132219220603,3.4625263916220295,0.8589000000000001,95.69,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379690>,CCOC(=O)C1=C(OCC(=O)c2cc(OCC)c(C)o2)C(C)=C1O,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5758305144834193,3.083875170853924,2.848820000000001,95.2,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379310>,C#CCC1C(=O)C=C(O)C(OC)=C1C(C)(OC(=O)CC)C(C)=O,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.59321110327379,4.516032279508751,1.8518999999999999,89.9,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde53793f0>,CC(=O)OC1C(=O)C=C1OC(=O)C(C)=C(C)C,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5469224597271152,3.725348673738935,1.2842,69.67,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379460>,CC(OC(N)=O)=C(N)C(=O)C(=O)C1=C(C)C(C)=C1C,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4478481413280942,3.68897009737067,1.0766000000000007,112.47999999999999,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379620>,C=C1C(C)=C(OCC(=O)C2C=CC(O)O2)C(C)=C1OC(C)=O,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6124825246783568,4.6396341427308005,1.5263999999999998,82.06,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379700>,C=C1C(OC(=O)C(C)=CC(=O)OC)=C(C)C(=O)C1(O)OCC,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4549979431362755,4.044928452397613,0.7868999999999999,99.13000000000002,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379770>,COC1=C(OC)C(OC)C(C)=C(OC(=O)C(C)(C)OC)C1=O,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6841411604092786,3.954636954421905,1.3307,80.29,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde53797e0>,CC(=O)C1C=C(O)C(=O)C(COC(=O)C=C(C)C)=C1,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6165136871999808,3.8957889375207992,1.6520000000000001,80.67,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379930>,CC(C)=C(O)C1=C(C)C(CO)=CC(=O)OC(C)(C)C(=O)OC1,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5979793161343953,4.113743837012997,1.9521,93.06,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379bd0>,CC1=C(C)C(C)=C(COC(=O)C=C(N)O)C1=O,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4359295349120521,3.2395809175048917,1.1233,89.62,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379c40>,C=C(C)C1=COC(CO)=C(CO)C(OC(=O)CC(F)(F)F)C(=O)O1,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7139549642649368,4.355019391392893,1.0801999999999998,102.29,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379d20>,CCOC(=O)NC1=C(OC2=CC(=O)C(C)(C)C2)C(C(=O)OC)=C1C,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7756020810596086,3.3868265539900184,2.3467000000000002,90.92999999999999,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379d90>,CCOC(=O)C1=C(OC(=O)C(C)(C)OC2=CC=CCC2)C(=O)N1C,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6885775297355814,3.3923696087237465,1.8054,82.14,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379cb0>,CCOC(=O)C1=C(COC(=O)C=C(C)C)C(=O)OC1C#N,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.41940785496485605,3.621788174868012,0.8044799999999999,102.69,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379e00>,CC1=C(C)C(OCC(=O)C2=C(CC(C)(C)C)OC2=O)=CC(=O)C1,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5754847786985808,3.6927992937808956,3.0123000000000015,69.67,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379e70>,CC1=C(COC(=O)C(C)C(=O)C(C)(O)C(C)C)C(=O)C(C)=C1CO,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5366768441849528,4.05500674810375,1.3497999999999999,100.90000000000002,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379f50>,C=C1C=CC(=O)C(OCC(=O)C(C)(C)OC)=C1O,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.8015477160796038,3.481878601114664,1.4618,72.83000000000001,0.362,0.96,1.0
<rdkit.Chem.rdchem.Mol object at 0x7abde5379ee0>,CC(=COC(=O)C1=CC(=O)C=C(O)C1)C(O)(N(C)C)C(F)(F)F,1.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4608449241048619,4.416753143762813,1.587,87.07000000000001,0.362,0.96,1.0
