molecule,smiles,condition,scaffold_cond,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7341112555b0>,CC1=C(C(=O)OC2C=CC(=O)C=C2)C(C)(C)O1,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6819533059937921,3.796773270803767,1.6761,52.60000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255690>,CC(=O)C1=C(C)OC(=O)C=C(C(=O)OCC(C)C)C1=C(C)C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.746939776054163,3.2227460292515335,2.8682000000000016,69.67,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255310>,CC(=O)C1=C(C)OC(=O)C=C(OCC=CC(C)(C)O)C1C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6217718803890068,3.9914890689739053,2.2699,72.83000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x7341112553f0>,CC(C)=CCCC1=C(COC(=O)C2=C(C)C(=O)C=C2C)C(O)=C1C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5842083070420175,3.424472948220788,4.263700000000004,63.60000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255460>,CC1=C(C(=O)OC2C=CC(=O)C=C2)C(C)(C)OC1=O,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7002738103478037,3.6132978123027986,1.2451999999999999,69.67000000000002,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255620>,CC1=CC(=CC(=O)OC(C)C(=O)NCC(C)(C)C)CC1=O,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6347264589712244,3.5417458521906893,1.9258999999999997,72.47,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255700>,CC=C(C)C1C(=O)CC(C(=O)OCC)=C(C)OC1=O,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4432060683188761,3.779968629828491,1.9219,69.67000000000002,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255770>,CC1=CC(=O)C(C)=C1C(=O)OC(C)C(=O)OC(C)(C)C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7404181121105828,3.1934722599759544,2.1053,69.67,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x7341112557e0>,CC1=C(C(=O)OC2C=CC(=O)C=C2)C(C)(O)C(=O)OC1(C)C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7653970096922026,4.300879213252004,0.9961999999999998,89.90000000000002,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255930>,CC(=O)C1=C(C)OC(=O)C(C)=C(C(=O)OC(C)C)C1C#N,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7360761592294097,3.5570851528899894,1.81408,93.46000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255c40>,CC(=O)C1=C(C)OC(=O)C(OC(=O)C=C(C)C)C=C1CO,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6187643025318673,3.9729125654774027,1.2028999999999999,89.90000000000002,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255cb0>,CC=CC=CC(=O)OC1C=C(O)C(C=C(C)C)C1=O,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.3659480694715855,4.463858463634095,2.6375,63.60000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255bd0>,CC(C)(C)C1=C(COC(=O)C=C2C=CC(=O)C=C2)OC1C#N,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5904216310699126,4.046670274259961,2.3736800000000002,76.39000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255d20>,CC1=C(C(=O)OC(=CC(=O)OC(C)(C)C)C(F)(F)F)CC=CC1=O,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.44596786612088324,3.461697816396966,3.163000000000002,69.67,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255d90>,CC(=O)C1C(=O)OC(n2[nH]c(C)c(C#N)c2=O)=C(C)C(C)=C1C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6595667756299725,4.023873613123962,1.6434,104.94999999999999,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255e70>,COC(=O)C1=C(COC(=O)CC2=C(C)C(=O)C=C2C)C(O)C1O,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6838828122491495,3.9885961887142987,-0.02980000000000016,110.13000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255e00>,CC(C)(C)C1C=C(C(=O)COC(N)=O)C(=O)C1,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.7498352774501367,3.6776172052074676,1.2123000000000002,86.46000000000001,0.215,0.927,1.0
<rdkit.Chem.rdchem.Mol object at 0x734111255ee0>,CCOC(=O)C1=C(C)OC(=O)C(OC(=O)C=C(C)C)C1=C(C)C,0.6,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4495621852720675,3.683777459277808,2.5947000000000005,78.9,0.215,0.927,1.0
