molecule,smiles,condition,scaffold_cond,qed,sas,logp,tpsa,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x78399da795b0>,CC(C)=C(C)OC(=O)C1=C(C)C(=O)OC1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.3052906568210267,3.366629526004992,1.2432999999999998,69.67000000000002,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79690>,C=CCOC(=O)CC(=O)C1=C(C)C(=O)OC1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.2914486768721557,3.0160388895328643,0.07469999999999999,86.74000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79310>,COC(=O)NC1=C(N)N(CC(=O)OC2=CCC(=O)C2)C1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6431436448470004,3.388501110310713,-0.8976000000000004,128.03,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da793f0>,CC(=O)OC1C=C2C(=O)COC(=O)C(=C2C)C(=O)OCC1,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.3878819389059841,4.890187693907018,0.2338,95.97000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79460>,CCC(=O)OC1C=C(CC(=O)OCC2=C(C)COC2=O)C1,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.41888669056315303,3.7649442622017304,1.4448999999999999,78.9,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79620>,CC1=C2C(=O)CCCC=C1OC(=O)COC2=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.46397075664928067,3.9788521489319386,1.0398,69.67000000000002,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79700>,CCC(=O)OC1C=C(C(=O)OCC2=C(C)COC2=O)C1,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5530958109500451,3.7092368150287447,1.0548,78.9,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79770>,COC1=C2COC(=O)C1=C(C)OC(=O)C(=O)COC2=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.35597428513076634,4.546122654896995,-0.6132000000000002,105.2,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da797e0>,CCC(=O)OC1C=C(C(=O)OCC2=C(CC)OC2=O)C1,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.540305136910279,3.7744342509261806,1.4023999999999999,78.9,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79930>,CCOC(=O)c1c(COC(=O)C=C(C)C)c(=O)c1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.4371410070837807,2.664328635832211,0.4687000000000001,86.74000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79bd0>,CC(=O)NC1=C(C)N(CC(=O)OC2=CCC2=O)C1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6970627510450911,3.2480742828910323,-0.4038999999999999,92.78,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79c40>,CC(=O)NC1=C(C)N(CC2=CC(=O)C(=O)C2)C1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6927342894170282,3.3279981182996075,-0.33550000000000013,83.55000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79cb0>,CC(C)CNC(=O)C1=C2COC(=O)C1=CC(=O)OCCCOC2=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5714945566400031,4.218754115710029,0.028500000000000414,108.00000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79d20>,C=CC(=O)OCC1=C(C(=O)OC)C(=C2CC(=O)O2)C1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.40442890867822984,3.272301862154862,-0.03110000000000035,95.97,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79d90>,CC(=O)Nc1c(NC(=O)C#CC(=O)OC2=CCC(=O)C2)c1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.44584459256879394,3.7238379725713715,-0.3873000000000004,118.64000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79e00>,CC1=C2COC(=O)C1=CC(OC(=O)C(C)C)CC(=O)COC2=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.5495179079365393,5.010876833258138,0.8698999999999999,95.97000000000001,0.289,0.643,1.0
<rdkit.Chem.rdchem.Mol object at 0x78399da79e70>,CC(=O)NC1=C(C)N(CC2=CC(=O)C(=O)C2)C1=O,2.0,OCC1=CC(OC)=C(O)C(OC)=C1<<<<<<<<<<<<<<<<<<<<<<<<,0.6927342894170282,3.3279981182996075,-0.33550000000000013,83.55000000000001,0.289,0.643,1.0
